
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787711013458 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;R DR JOEL MIRA SABOIA, N. 745, LT 22 QD 02 ;73.782,67;139.000,00;46.92;Casa, 0.00 de área total, 42.32 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711013458
 8787711039619 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA MAESTRO IVONEI FRANCO DOS SANTOS, N. SN, QD 21, LT 10 ;72.336,72;135.000,00;46.42;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711039619
 8787711968962 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA DOUTOR JOEL MIRA SABOIA, N. SN, QD39 LT12 ;77.866,57;140.000,00;44.39;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711968962
 8787710961972 ;PR ;APUCARANA ;NUCLEO HABITACIONAL DOM ROMEU ALBERTI ;RUA SAO JOSE, N. 684, QD 06 LT 01 ;98.293,55;174.599,81;43.71;Casa, 0.00 de área total, 200.23 de área privativa, 200.23 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710961972
 8787711629777 ;PR ;APUCARANA ;Apucarana ; R DR. JOEL MIRA SABOIA, N. SN, QD 22, LT 17 ;82.769,83;145.000,00;42.92;Casa, 42.37 de área total, 42.37 de área privativa, 233.95 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711629777
 8787708017804 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA PROJETADA 13, N. SN, LT 21 QD 11 ;71.654,14;125.000,00;42.68;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708017804
 8787708073704 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA PROJETADA 15, N. SN, LT 15 QD 42 ;71.080,90;124.000,00;42.68;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708073704
 8787708478984 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA CAIO AUGUSTO PEZARINI SALINET, N. 1218, LT 16 QD 24 ;71.080,90;124.000,00;42.68;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708478984
 8787708687656 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA PROJETADA 13, N. SN, LT 25 QD 24 ;71.654,14;125.000,00;42.68;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708687656
 8787711546979 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA DOUTOR JOEL MIRA SABOIA, N. 1285, LT 22 QD 40 ;71.080,90;124.000,00;42.68;Casa, 0.00 de área total, 42.37 de área privativa, 180.20 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711546979
 8787709027161 ;PR ;APUCARANA ;Apucarana ; RUA PROJETADA 15, N. SN, ;73.412,72;126.732,48;42.08;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709027161
 8787711029907 ;PR ;APUCARANA ;Apucarana ; RUA MAESTRO IVONEI FRANCO DOS SANTOS, N. 273, LT NR 26 QD NR 22 ;72.988,41;126.000,00;42.08;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711029907
 8787707689957 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA CAIO AUGUSTO PEZARINI SALINET, N. 1269, LT 20, QD 42 ;76.232,34;131.600,00;42.08;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707689957
 8787709111120 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA DEPUTADO ANTONIO DOS SANTOS MACIEL FILHO, N. 907, QD 11 LT 32 ;75.305,50;130.000,00;42.08;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709111120
 8787708685785 ;PR ;APUCARANA ;CONJ HAB SOLO SAGRAD ; RUA PROJETADA 14 ATUAL RUA CAIO AUGUSTO PEZARINI, N. 978, LT 10 QD 11 ;87.819,45;150.000,00;41.46;Terreno, 42.37 de área total, 0.00 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708685785
 8787703063719 ;PR ;APUCARANA ;RESIDENCIAL MEGA PARK ;RUA AQUILES BARBOSA DE SOUZA (ANTIGA RUA B), N. 218, LT 02 QD 14 ;88.346,37;150.900,00;41.46;Casa, 45.74 de área total, 45.74 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703063719
 8787705080815 ;PR ;APUCARANA ;CIDADE EDUCACAO ;RUA VALDOMIRO VARGAS, N. 44, ;85.477,60;146.000,00;41.46;Casa, 45.74 de área total, 45.74 de área privativa, 200.36 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705080815
 8787707666990 ;PR ;APUCARANA ;CONJUNTO HABITACIONAL SOLO SAGRADO ;RUA CAIO AUGUSTO PEZARINI SALINET, N. 768, LT 07 QD NR03 RUA PROJETADA 14 ;82.550,28;141.000,00;41.46;Casa, 42.37 de área total, 42.37 de área privativa, 180.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707666990
